PC01	PC02	PC03	PC04	PC05	PC06	PC07	PC08	PC09	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	sample	spec	loc	pop
-0.024718855598222282	-0.06684380382587542	-0.059276341793950894	-0.004136400037187006	0.021047684062050764	0.027529426682252636	0.033045703491168386	-0.17607565794854835	0.10439061756392069	0.11939094669242561	-0.28163231282208084	0	-0.1911740542528872	-0.13784181460121242	-0.2739401768150821	0.38890864915076345	0	0.08424722608826161	0.38482118147944167	-0.03222057962714803	0	0.2595554670974586	0.05784113335609868	0.17982554320271246	-0.2286240465682334	-0.07804968894266792	0.05985757227742971	-0.23045472608819612	-0.2818355662434553	0.20156812988267023	-0.2269498146129204	-0.012475667548255395	16_21-30nigpan	nig	pan	nigpan
-0.024718855598222844	-0.06684380382587367	-0.0592763417939462	0.060766053222135435	0.008091000205278847	-0.124984446146032	0.06967598040001068	-0.27551259203367223	-0.12390789298255817	0.12971360327779666	0.09398420603732838	0.042666768010267135	0.06463377397082604	-0.16147739089889787	0.37518096123590966	0.16086669965386136	0.05434632418925629	0.2480828623969614	-0.01946362798340872	0.17933749106803043	-0.032785427117742766	0.24273234714618888	0.4099815702457502	-0.3779193674975335	0.17675783870433218	0.12782653220693727	-0.0246462963096235	0.2644344986397558	-0.13331999491473992	0.1437847184791295	0.033869665187112305	-0.012475667548256098	16_31-40unipan	uni	pan	unipan
-0.012355604283123222	-0.0034478429763582542	-0.0010106697010865238	4.261104859821589e-17	5.873463225155023e-17	-1.6458397127522883e-17	-1.3919939955707835e-16	-1.1924118832814137e-16	2.4461754834700697e-16	5.818216493402393e-17	8.752464948718755e-17	4.915836453634887e-17	8.869041665586983e-17	-2.116812825130305e-18	5.96888300580755e-17	-8.54755454183947e-17	-9.442465534192944e-18	4.290661487566956e-17	-3.872753642484148e-17	-5.768405376650961e-17	-7.895293230140537e-17	7.460107823070995e-17	9.715032173460549e-17	-3.249120616933221e-17	2.3865173012989804e-17	8.068088783028192e-17	7.345262674676141e-17	2.8840202727609524e-17	-9.36396363922785e-17	4.113582542730942e-17	8.440525719708251e-17	3.828008485462512e-4	18418nigpan	nig	pan	nigpan
-0.024718855598222348	-0.06684380382588068	-0.05927634179395608	0.001459811974529675	-0.02396214638690928	-0.044932770164137055	-0.2632542422311718	0.011615591539785775	0.40552496007344174	0.05348761613529351	0.08847914864087979	0.1098083527395945	0.1787955004980823	0.05325804149155212	0.27713065389229996	0.22837671553884872	-0.044247395307040756	0.24764146242630522	-0.13799324499219862	-0.22075631041412822	-0.12613289385881182	-0.09728833806472865	0.11470197695089208	0.2675917119702761	-0.07562153504252397	-0.2603802702497998	0.2399915469980498	0.13541656467478747	0.07232652045110648	-0.3291565319668473	-0.1957130145669479	-0.01247566754825677	18419puepan	pue	pan	puepan
-0.024718855598222386	-0.06684380382587825	-0.05927634179395204	0.18702965781270253	-0.03556494472446137	0.056484020355839624	-0.027218159441980846	-0.006379855014096937	-0.2962121620416427	-0.14993980268489807	-0.3531817661543786	0.0649528816687552	-0.18345422540819337	-0.22200293802495613	-5.900599854551922e-5	0.258529738464567	0.04426901342740666	0.08877015419901708	-0.09066362250889945	-0.07843396033611941	0.07985282313555998	-0.18415438073976326	-0.26039671546557663	-0.2567020979307434	-0.05008045016304166	0.10328591720706155	0.0034755482517655153	0.151912919010966	0.43576258698967923	-0.15359605620006087	-0.2973083883063908	-0.012475667548254889	18420unipan	uni	pan	unipan
-0.02471885559822238	-0.06684380382587275	-0.05927634179397837	0.07855934557934788	-0.28210860752288763	-0.15151188586885522	-0.24934452328356546	-0.30044319042378836	-0.05951096092870869	0.3572523207950383	0.04296858464493865	-0.06125843066743506	-0.06304898404721856	0.025773546006416348	0.01900348071718068	-0.09147953232347115	0.011142676104580813	0.0029003616234031795	-0.10955436750785741	0.3073491767478416	0.03496416448228519	-0.4569858161424134	-0.17081102389466002	-0.048377918315426295	0.11421161468899249	0.03184967988951383	0.1459098123459176	-0.36798828417455853	-0.17780332192378215	-0.0027484376245703454	-0.060564575349190596	-0.012475667548269112	18421puepan	pue	pan	puepan
-0.02471885559822238	-0.06684380382587672	-0.059276341793929876	0.1552002688321766	-0.06426881037218135	-0.053591315790186334	0.009224126455340825	-0.21287777731956917	-0.07838466552322237	0.0695741876677134	-0.2551770204454791	0.020057238747410208	-0.08352350102250462	0.2307692144710874	-0.0435765106233891	-0.06345257937785985	1.0199798651513566e-4	-0.2377297363025648	-0.4408642790950144	-0.40055536099192574	0.09138753270607587	0.09675743585536427	-0.020232213324568166	-0.053806233359779944	0.026659196463893586	-0.3812613437682184	-0.24171524873084313	0.1494978446612758	-0.26501317529578033	0.09921576212121201	0.08429397699959329	-0.012475667548272295	18422puepan	pue	pan	puepan
-0.026413047581153277	0.37413423648004696	0.021990455745694925	-2.3854589722202134e-16	-5.44208879429678e-17	-1.2302605221708704e-16	-4.193538741923604e-16	6.204544351025802e-16	5.522964624764676e-16	-2.8875590550831103e-16	-2.1659357604192668e-16	4.23946359644704e-16	-5.760046704058362e-17	-1.5240885053653635e-16	3.287646898078844e-16	6.689682128453289e-16	-1.4490670493297483e-16	6.827440523878953e-16	-1.2466631413909914e-16	-9.888423734183152e-16	-2.7346945580116663e-16	-3.2812703257340263e-16	-2.905637250519239e-16	5.693923741681687e-16	-3.088302317673565e-16	-4.984878864232875e-16	8.141671815274739e-17	2.2386227031727743e-16	6.368779423456263e-16	-1.2903898647783217e-15	-6.604119462170558e-16	-0.003956464154508474	18424nigpan	nig	pan	nigpan
-0.02471885559822238	-0.06684380382587551	-0.059276341793950825	-0.043321815878146173	-0.05043303536659135	-0.020983781155795318	0.3134706154299962	-0.12360573477144811	0.05265869138654037	0.14440576217281778	-0.24423903725486393	-0.0052969361130294984	0.29265740288185343	-0.07159546130917273	0.32039719281471135	-0.37857171480433105	-0.017776872188457957	-0.14967996339597986	0.26753845169663737	0.1051614532371939	0.037710289128603684	0.13520345726333854	-0.13719305767558362	-0.13007097682474067	-0.3523832740942807	-0.2603364616121236	0.06334017121778455	-0.09726358142831283	0.1807984145673494	-0.16219865827431215	0.04297155334765509	-0.012475667548256558	18426puepan	pue	pan	puepan
-0.024718855598222372	-0.06684380382587556	-0.05927634179395061	-0.07713421527570553	0.07400052034353162	-0.06299231513632937	0.07727933999424075	0.18524251690644547	-0.3755843446982629	0.04529384864201153	0.18768903854653224	0.041882937481844636	-0.25195041102300264	0.4932817627899988	0.25707362455501204	0.26049893386975026	-0.11868208334207946	-0.2428485478884345	0.10137541907680403	0.19943538618420686	-0.006765868019292279	0.09001174405625106	0.05688837354033647	0.11089059892893732	-0.10296806957810913	-0.0021614316375521006	-0.13795742168815264	-0.07828406606856575	-0.04170874800918281	-0.2999532266182411	-0.12130587940054632	-0.01247566754825655	18427puepan	pue	pan	puepan
