PC	variation
PC01	3.498536321524011
PC02	2.78652228365329
PC03	2.7678083970249685
PC04	2.503620871953265
PC05	2.4908121822065827
PC06	2.4800214820711504
PC07	2.476611433212037
PC08	2.4683559431212743
PC09	2.4639370346290446
PC10	2.46130590604419
PC11	2.4560198141981187
PC12	2.4546098735655875
PC13	2.4519869084317256
PC14	2.4466546666862965
PC15	2.4433527022239576
PC16	2.4388623811562935
PC17	2.436828728684516
PC18	2.434659097269069
PC19	2.431935367152632
PC20	2.4301311750143997
PC21	2.426253625933578
PC22	2.4207467881434783
PC23	2.4158424233439852
PC24	2.4076638753855812
PC25	2.4039684781990944
PC26	2.390653648234885
PC27	2.385550290826619
PC28	2.368629379098552
PC29	2.3542711182853635
PC30	2.348471564486334
PC31	2.3471970511868374
PC32	2.3419035472416585
