PC	variation
PC01	10.882400225523826
PC02	6.749219620719129
PC03	5.639579954068022
PC04	5.1232345516621205
PC05	4.621869361365978
PC06	4.2605362977817
PC07	4.167298542525131
PC08	3.8347927719617223
PC09	3.768900889590914
PC10	3.3688200545700626
PC11	3.27077252750874
PC12	3.0992626378191273
PC13	2.771926932041907
PC14	2.7004370868104375
PC15	2.532278244580578
PC16	2.323659086206202
PC17	2.237359821228985
PC18	2.120424400133788
PC19	2.0648860880455437
PC20	1.9525901367162497
PC21	1.8729536002435088
PC22	1.7576490480160991
PC23	1.677377074164838
PC24	1.6325525845450974
PC25	1.5271032141383474
PC26	1.4539549012056328
PC27	1.3430792294516316
PC28	1.3233040093488901
PC29	1.2442100381312624
PC30	1.179585332732085
PC31	1.1396190948155345
PC32	1.0828395623052887
